Date,AAPL,MSFT,TSLA,AMZN,NVDA
2018-08-31,53.87088394165039,104.41080474853516,20.110666275024414,100.635498046875,6.951287269592285
2018-09-30,53.42359161376953,106.3069839477539,17.65133285522461,100.1500015258789,6.959705829620361
2018-10-31,51.79538345336914,99.27997589111328,22.488000869750977,79.90049743652344,5.221388816833496
2018-11-30,42.410179138183594,103.51761627197266,23.365333557128906,84.50849914550781,4.051536560058594
2018-12-31,37.460975646972656,94.81723022460938,22.18666648864746,75.09850311279297,3.309553384780884
2019-01-31,39.527099609375,97.48707580566406,20.468000411987305,85.9365005493164,3.5636565685272217
2019-02-28,41.29698944091797,105.02845764160156,21.325332641601562,81.99150085449219,3.828148365020752
2019-03-31,45.303871154785156,110.56909942626953,18.657333374023438,89.0374984741211,4.455997943878174
2019-04-30,47.860618591308594,122.4378662109375,15.912667274475098,96.32599639892578,4.491734504699707
2019-05-31,41.91571807861328,116.37957000732422,12.343999862670898,88.75350189208984,3.365440845489502
2019-06-30,47.38652420043945,126.05280303955078,14.897333145141602,94.68150329589844,4.08021879196167
2019-07-31,51.00659942626953,128.2263946533203,16.107332229614258,93.33899688720703,4.191769599914551
2019-08-31,50.166961669921875,130.1544952392578,15.040666580200195,88.81449890136719,4.165826320648193
2019-09-30,53.82721710205078,131.2591094970703,16.058000564575195,86.79550170898438,4.3289690017700195
2019-10-31,59.78505325317383,135.3565216064453,20.994667053222656,88.83300018310547,4.999192237854004
2019-11-30,64.4216537475586,143.4051971435547,21.996000289916992,90.04000091552734,5.394112586975098
2019-12-31,70.78544616699219,149.39224243164062,27.8886661529541,92.39199829101562,5.856022357940674
2020-01-31,74.60858917236328,161.26214599609375,43.371334075927734,100.43599700927734,5.8841447830200195
2020-02-29,66.05084228515625,153.8943634033203,44.53266525268555,94.1875,6.725380897521973
2020-03-31,61.44304656982422,149.809814453125,34.93333435058594,97.48600006103516,6.564262866973877
2020-04-30,70.98969268798828,170.23281860351562,52.12533187866211,123.69999694824219,7.278463840484619
2020-05-31,77.03050994873047,174.55517578125,55.66666793823242,122.11849975585938,8.840836524963379
2020-06-30,88.38375091552734,193.85385131835938,71.98733520507812,137.9409942626953,9.464975357055664
2020-07-31,102.97870635986328,195.28273010253906,95.38400268554688,158.23399353027344,10.578120231628418
2020-08-31,125.28070831298828,215.3484344482422,166.10667419433594,172.54800415039062,13.328343391418457
2020-09-30,112.4361572265625,200.8346405029297,143.00332641601562,157.43649291992188,13.48784065246582
2020-10-31,105.6886215209961,193.3293914794922,129.34666442871094,151.8074951171875,12.494483947753906
2020-11-30,115.78117370605469,204.94093322753906,189.1999969482422,158.40199279785156,13.359248161315918
2020-12-31,129.04666137695312,212.93478393554688,235.22332763671875,162.84649658203125,13.017685890197754
2021-01-31,128.336669921875,222.06797790527344,264.510009765625,160.30999755859375,12.952620506286621
2021-02-28,118.106689453125,222.98245239257812,225.1666717529297,154.64649963378906,13.675301551818848
2021-03-31,118.97356414794922,226.23533630371094,222.64332580566406,154.70399475097656,13.314693450927734
2021-04-30,128.04150390625,241.98175048828125,236.47999572753906,173.37100219726562,14.971765518188477
2021-05-31,121.57574462890625,240.1360321044922,208.4066619873047,161.15350341796875,16.203657150268555
2021-06-30,133.6250457763672,260.5448913574219,226.56666564941406,172.00799560546875,19.95677947998047
2021-07-31,142.30831909179688,274.01934814453125,229.06666564941406,166.37950134277344,19.454435348510742
2021-08-31,148.3548583984375,290.8965148925781,245.24000549316406,173.5395050048828,22.33777618408203
2021-09-30,138.26133728027344,271.6628112792969,258.49334716796875,164.2519989013672,20.672298431396484
2021-10-31,146.371337890625,319.55450439453125,371.3333435058594,168.6215057373047,25.5130672454834
2021-11-30,161.75230407714844,319.144775390625,381.586669921875,175.35350036621094,32.607059478759766
2021-12-31,173.7589569091797,324.6764221191406,352.260009765625,166.7169952392578,29.352548599243164
2022-01-31,171.02883911132812,300.2137451171875,312.239990234375,149.57350158691406,24.437334060668945
2022-02-28,161.78199768066406,289.0422058105469,290.1433410644531,153.56300354003906,24.336536407470703
2022-03-31,171.08013916015625,298.2515563964844,359.20001220703125,162.99749755859375,27.236412048339844
2022-04-30,154.4630126953125,268.4660949707031,290.2533264160156,124.28150177001953,18.513294219970703
2022-05-31,146.04539489746094,263.61297607421875,252.75332641601562,120.20950317382812,18.638065338134766
2022-06-30,134.15298461914062,249.02972412109375,224.47332763671875,106.20999908447266,15.134652137756348
2022-07-31,159.458740234375,272.21356201171875,297.1499938964844,134.9499969482422,18.133825302124023
2022-08-31,154.4823455810547,254.06700134277344,275.6099853515625,126.7699966430664,15.069753646850586
2022-09-30,135.7935333251953,226.30589294433594,265.25,113.0,12.123102188110352
2022-10-31,150.66989135742188,225.5576629638672,227.5399932861328,102.44000244140625,13.47932243347168
2022-11-30,145.69363403320312,248.6148681640625,194.6999969482422,96.54000091552734,16.905160903930664
2022-12-31,127.87928771972656,233.68666076660156,123.18000030517578,84.0,14.598596572875977
2023-01-31,142.01268005371094,241.47232055664062,173.22000122070312,103.12999725341797,19.516403198242188
2023-02-28,145.30494689941406,243.64991760253906,205.7100067138672,94.2300033569336,23.1915283203125
2023-03-31,162.54519653320312,281.6304626464844,207.4600067138672,103.29000091552734,27.752429962158203
2023-04-30,167.25692749023438,300.1518249511719,164.30999755859375,105.44999694824219,27.724454879760742
2023-05-31,174.96051025390625,321.49432373046875,203.92999267578125,120.58000183105469,37.800540924072266
2023-06-30,191.46450805664062,333.3891296386719,261.7699890136719,130.36000061035156,42.268951416015625
2023-07-31,193.91250610351562,328.8661804199219,267.42999267578125,133.67999267578125,46.69249725341797
2023-08-31,185.69371032714844,321.556884765625,258.0799865722656,138.00999450683594,49.31645584106445
2023-09-30,169.22674560546875,309.7742004394531,250.22000122070312,127.12000274658203,43.46860122680664
2023-10-31,168.7918243408203,331.7109680175781,200.83999633789062,133.08999633789062,40.751502990722656
2023-11-30,187.9969940185547,372.4933166503906,240.0800018310547,146.08999633789062,46.73732376098633
2023-12-31,190.55047607421875,369.67193603515625,248.47999572753906,151.94000244140625,49.49174499511719
2024-01-31,182.50405883789062,390.8471374511719,187.2899932861328,155.1999969482422,61.48942184448242
2024-02-29,179.11984252929688,407.38714599609375,201.8800048828125,176.75999450683594,79.06365966796875
2024-03-31,169.93345642089844,414.360107421875,175.7899932861328,180.3800048828125,90.3050308227539
2024-04-30,168.79385375976562,383.4446105957031,183.27999877929688,175.0,86.353271484375
2024-05-31,190.77456665039062,409.59210205078125,178.0800018310547,176.44000244140625,109.57117462158203
2024-06-30,209.00357055664062,440.9875793457031,197.8800048828125,193.25,123.48046875
2024-07-31,220.37559509277344,412.76910400390625,232.07000732421875,186.97999572753906,116.96359252929688
2024-08-31,227.50552368164062,412.3171081542969,214.11000061035156,178.5,119.3124771118164
2024-09-30,231.4794464111328,425.32489013671875,261.6300048828125,186.3300018310547,121.39185333251953
2024-10-31,224.43568420410156,401.6518249511719,249.85000610351562,186.39999389648438,132.70736694335938
2024-11-30,236.0406036376953,419.40185546875,345.1600036621094,207.88999938964844,138.19520568847656
2024-12-31,250.82980346679688,420.7586669921875,417.4100036621094,221.3000030517578,137.4449462890625
